timestamp_utc,funding_rate,settlement_hour_utc
2024-10-18 16:00:00,0.0001,16
2024-10-19 00:00:00,0.0001,0
2024-10-19 08:00:00,0.0001,8
2024-10-19 16:00:00,0.0001,16
2024-10-20 00:00:00,0.0001,0
2024-10-20 08:00:00,0.0001,8
2024-10-20 16:00:00,0.0001,16
2024-10-21 00:00:00,0.0001,0
2024-10-21 08:00:00,0.0001,8
2024-10-21 16:00:00,0.0001,16
2024-10-22 00:00:00,0.0001,0
2024-10-22 08:00:00,0.0001,8
2024-10-22 16:00:00,0.0001,16
2024-10-23 00:00:00,0.0001,0
2024-10-23 08:00:00,0.0001,8
2024-10-23 16:00:00,0.0001,16
2024-10-24 00:00:00,0.0001,0
2024-10-24 08:00:00,0.0001,8
2024-10-24 16:00:00,0.0001,16
2024-10-25 00:00:00,0.0001,0
2024-10-25 08:00:00,0.0001,8
2024-10-25 16:00:00,0.0001,16
2024-10-26 00:00:00,4.755e-05,0
2024-10-26 08:00:00,7.569e-05,8
2024-10-26 16:00:00,0.0001,16
2024-10-27 00:00:00,0.0001,0
2024-10-27 08:00:00,9.724e-05,8
2024-10-27 16:00:00,0.0001,16
2024-10-28 00:00:00,9.425e-05,0
2024-10-28 08:00:00,0.0001,8
2024-10-28 16:00:00,8.946e-05,16
2024-10-29 00:00:00,0.0001,0
2024-10-29 08:00:00,0.0001,8
2024-10-29 16:00:00,0.0001,16
2024-10-30 00:00:00,0.0001,0
2024-10-30 08:00:00,0.0001,8
2024-10-30 16:00:00,0.0001,16
2024-10-31 00:00:00,0.0001,0
2024-10-31 08:00:00,0.0001,8
2024-10-31 16:00:00,0.0001,16
2024-11-01 00:00:00,0.0001,0
2024-11-01 08:00:00,0.0001,8
2024-11-01 16:00:00,0.0001,16
2024-11-02 00:00:00,0.0001,0
2024-11-02 08:00:00,0.0001,8
2024-11-02 16:00:00,0.0001,16
2024-11-03 00:00:00,0.0001,0
2024-11-03 08:00:00,0.0001,8
2024-11-03 16:00:00,0.0001,16
2024-11-04 00:00:00,0.0001,0
2024-11-04 08:00:00,0.0001,8
2024-11-04 16:00:00,0.0001,16
2024-11-05 00:00:00,0.0001,0
2024-11-05 08:00:00,0.0001,8
2024-11-05 16:00:00,0.0001,16
2024-11-06 00:00:00,0.0001,0
2024-11-06 08:00:00,0.0001,8
2024-11-06 16:00:00,0.0001,16
2024-11-07 00:00:00,0.0001,0
2024-11-07 08:00:00,0.0001,8
2024-11-07 16:00:00,0.0001,16
2024-11-08 00:00:00,0.0001,0
2024-11-08 08:00:00,0.0001,8
2024-11-08 16:00:00,0.0001,16
2024-11-09 00:00:00,0.0001,0
2024-11-09 08:00:00,0.0001,8
2024-11-09 16:00:00,0.0001,16
2024-11-10 00:00:00,0.0001,0
2024-11-10 08:00:00,0.00025603,8
2024-11-10 16:00:00,0.00014113,16
2024-11-11 00:00:00,0.00036878,0
2024-11-11 08:00:00,0.0001,8
2024-11-11 16:00:00,0.0001,16
2024-11-12 00:00:00,0.00049133,0
2024-11-12 08:00:00,0.00043737,8
2024-11-12 16:00:00,0.00038754,16
2024-11-13 00:00:00,0.0001,0
2024-11-13 08:00:00,0.00013101,8
2024-11-13 16:00:00,0.00021856,16
2024-11-14 00:00:00,0.0001,0
2024-11-14 08:00:00,0.0001,8
2024-11-14 16:00:00,0.0001,16
2024-11-15 00:00:00,0.0001,0
2024-11-15 08:00:00,0.0001,8
2024-11-15 16:00:00,0.00010977,16
2024-11-16 00:00:00,0.0001,0
2024-11-16 08:00:00,0.0001,8
2024-11-16 16:00:00,0.00013231,16
2024-11-17 00:00:00,0.00015765,0
2024-11-17 08:00:00,0.0001,8
2024-11-17 16:00:00,0.00010577,16
2024-11-18 00:00:00,0.0001,0
2024-11-18 08:00:00,0.0003645,8
2024-11-18 16:00:00,0.00021318,16
2024-11-19 00:00:00,0.00021606,0
2024-11-19 08:00:00,0.00030216,8
2024-11-19 16:00:00,0.00017959,16
2024-11-20 00:00:00,0.0001,0
2024-11-20 08:00:00,0.0001,8
2024-11-20 16:00:00,0.0001,16
2024-11-21 00:00:00,0.0001,0
2024-11-21 08:00:00,0.0001,8
2024-11-21 16:00:00,0.0001,16
2024-11-22 00:00:00,0.0001,0
2024-11-22 08:00:00,0.0001,8
2024-11-22 16:00:00,0.0001,16
2024-11-23 00:00:00,0.0001,0
2024-11-23 08:00:00,0.0001,8
2024-11-23 16:00:00,0.0001,16
2024-11-24 00:00:00,0.0001,0
2024-11-24 08:00:00,0.00016148,8
2024-11-24 16:00:00,0.00023228,16
2024-11-25 00:00:00,0.00021035,0
2024-11-25 08:00:00,0.0001,8
2024-11-25 16:00:00,0.00025233,16
2024-11-26 00:00:00,0.00021902,0
2024-11-26 08:00:00,0.00017936,8
2024-11-26 16:00:00,0.00029599,16
2024-11-27 00:00:00,0.00031205,0
2024-11-27 08:00:00,0.00016795,8
2024-11-27 16:00:00,0.0001,16
2024-11-28 00:00:00,0.0001,0
2024-11-28 08:00:00,0.00014326,8
2024-11-28 16:00:00,0.00011859,16
2024-11-29 00:00:00,0.00020619,0
2024-11-29 08:00:00,0.00011747,8
2024-11-29 16:00:00,0.00021921,16
2024-11-30 00:00:00,0.0001,0
2024-11-30 08:00:00,0.00015909,8
2024-11-30 16:00:00,0.00012063,16
2024-12-01 00:00:00,0.00015901,0
2024-12-01 08:00:00,0.00019581,8
2024-12-01 16:00:00,0.0001,16
2024-12-02 00:00:00,0.00025726,0
2024-12-02 08:00:00,0.00024556,8
2024-12-02 16:00:00,0.00013387,16
2024-12-03 00:00:00,0.00012779,0
2024-12-03 08:00:00,0.00024926,8
2024-12-03 16:00:00,0.00011952,16
2024-12-04 00:00:00,0.00026634,0
2024-12-04 08:00:00,0.00026254,8
2024-12-04 16:00:00,0.00023234,16
2024-12-05 00:00:00,0.00027625,0
2024-12-05 08:00:00,0.00072446,8
2024-12-05 16:00:00,0.00047059,16
2024-12-06 00:00:00,0.0001,0
2024-12-06 08:00:00,0.00014634,8
2024-12-06 16:00:00,0.0001,16
